SubjectID,researchdate
4844634155853,2025-07-02
4844634155853,2025-07-05
4844634155853,2025-07-06
4844634155853,2025-07-12
4844634155853,2025-07-13
4844634155853,2025-07-26
4844634155853,2025-07-27
4844634155853,2025-08-02
4844634155853,2025-08-03
4844634155853,2025-08-19
4844634155853,2025-08-22
4844634155853,2025-08-26
4844634155853,2025-08-28
4844634155853,2025-09-22
4844634155853,2025-09-27
4844634155853,2025-10-31
4844634155891,2025-07-05
4844634155891,2025-09-15
4844634155891,2025-09-30
4844634155891,2025-10-06
4844634155916,2025-10-06
4844634155916,2025-10-30
5034735005189,2025-10-23
5034735005191,2025-06-01
5034735005577,2025-07-10
5034735005584,2025-07-18
5034735005584,2025-07-20
5034735005584,2025-07-21
5034735005584,2025-08-06
5034735005584,2025-10-05
5034735005641,2025-06-14
5034735005641,2025-10-31
5034735005642,2025-09-03
5034735005644,2025-09-27
5034735005768,2025-10-27
5034735005768,2025-10-31
5034735005892,2025-08-19
5034735005895,2025-08-03
5034735005961,2025-06-10
5034735005961,2025-08-20
5034735005961,2025-09-23
5034735005961,2025-09-24
5034735005976,2025-08-03
5034735005976,2025-09-22
5034735006035,2025-09-28
5034735006047,2025-06-03
5034735006047,2025-06-05
5034735006047,2025-06-12
5034735006047,2025-06-20
5034735006047,2025-06-21
5034735006047,2025-06-25
5034735006047,2025-07-07
5034735006047,2025-07-15
5034735006047,2025-07-25
5034735006047,2025-08-09
5034735006047,2025-08-21
5034735006047,2025-09-25
5034735006047,2025-09-28
5034735006047,2025-10-06
5034735006047,2025-10-20
5034735006047,2025-10-25
5034735006054,2025-07-08
5034735006054,2025-09-20
5034735006054,2025-10-23
5034735006084,2025-06-02
5034735006153,2025-08-29
5034735006209,2025-09-30
5034735006217,2025-10-16
5034735006226,2025-06-28
5034735006226,2025-07-10
5034735006231,2025-07-05
5034735006231,2025-07-31
5034735006231,2025-08-01
5034735006231,2025-08-31
5034735006231,2025-10-13
5034735006326,2025-09-21
5034735006420,2025-09-08
5034735006441,2025-08-26
5034735006441,2025-10-04
5034735006441,2025-10-05
5034735006441,2025-10-16
5034735006441,2025-10-19
5034735006441,2025-10-23
5034735006451,2025-09-14
5034735006457,2025-09-08
5034735006505,2025-09-02
5034735006505,2025-10-29
5034735006621,2025-06-13
5034735006621,2025-09-10
5034735006627,2025-06-27
5034735006701,2025-06-16
5034735006716,2025-09-25
5034735006716,2025-10-29
5034735006749,2025-10-02
5034735006790,2025-08-23
5034735006792,2025-08-12
5034735006795,2025-06-17
5034735006802,2025-10-23
5034735006817,2025-06-25
5034735006821,2025-09-14
5034735006831,2025-10-20
5034735006834,2025-07-04
5034735006834,2025-10-24
5034735006848,2025-07-06
5034735006848,2025-10-05
5034735006848,2025-10-14
5034735006848,2025-10-22
5034735006853,2025-10-12
5034735006857,2025-06-24
5034735006857,2025-08-03
5034735006935,2025-07-29
5034735006935,2025-08-28
5034735006943,2025-08-14
5034735006951,2025-07-30
5034735006958,2025-08-21
5034735006998,2025-07-09
5034735006998,2025-07-22
5034735006998,2025-08-13
5034735006998,2025-10-01
5034735007032,2025-07-16
5034735007032,2025-08-25
5034735007042,2025-10-14
5034735007054,2025-07-10
5034735007062,2025-10-08
5034735007068,2025-07-01
5034735007068,2025-10-08
5034735007113,2025-06-23
5034735007114,2025-10-24
5034735007115,2025-09-21
5034735007124,2025-10-12
5034735007147,2025-10-25
5034735007162,2025-08-20
5034735007162,2025-09-27
5034735007170,2025-10-03
5034735007170,2025-10-12
5034735007231,2025-09-11
5034735007231,2025-10-02
5034735007283,2025-07-17
5034735007326,2025-07-15
5034735007357,2025-07-11
5034735007357,2025-08-01
5034735007357,2025-10-17
5034735007503,2025-10-14
5034735007625,2025-09-24
5034735007625,2025-09-25
5034735007627,2025-06-12
5034735007627,2025-06-16
5034735007627,2025-06-17
5034735007627,2025-08-21
5034735007627,2025-10-19
5034735007627,2025-10-27
5034735007627,2025-10-30
5034735007653,2025-07-23
5034735007653,2025-08-06
5034735007653,2025-08-18
5034735007664,2025-07-31
5034735007679,2025-06-13
5034735007679,2025-08-07
5034735007679,2025-09-02
5034735007720,2025-07-31
5034735007739,2025-08-11
5034735007773,2025-06-14
